[2022-09-30 11:52:22.813] [pxr_streamer] [info] ***********  Log Begin **********
[2022-09-30 11:52:22.813] [pxr_streamer] [info] process id= 12788
[2022-09-30 11:52:22.813] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:52:22.814] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x791db700
[2022-09-30 11:52:22.814] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x791db700
[2022-09-30 11:52:25.818] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:52:28.823] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:52:31.828] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:52:34.833] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:52:37.836] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:52:40.840] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:52:43.857] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:52:46.860] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:52:49.865] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:52:52.871] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:52:55.875] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:52:58.879] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:01.883] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:04.885] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:07.889] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:10.897] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:13.901] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:16.903] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:19.907] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:22.911] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:25.916] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:28.920] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:31.926] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:34.930] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:37.935] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:40.938] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:43.943] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:46.946] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:49.951] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:52.954] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:55.957] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:53:58.961] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:01.965] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:04.970] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:07.974] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:10.978] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:13.982] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:16.984] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:19.990] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:22.993] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:26.003] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:29.007] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:32.010] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:35.012] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:38.017] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:41.023] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:44.025] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:47.030] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:50.033] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:53.038] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:56.042] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:54:59.048] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:55:02.053] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:55:05.057] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
[2022-09-30 11:55:08.062] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Det gick inte att göra en anslutning eftersom måldatorn aktivt nekade det., this = 0x791db700
